time	conc	replicate	expw
0	23	1	1.485
0	19	2	1.485
0	20	3	1.485
0	21	4	1.485
0	23	5	1.485
0.3	44	1	1.485
0.3	72	2	1.485
0.3	33	3	1.485
0.3	71	4	1.485
0.3	45	5	1.485
0.52	43	1	1.485
0.52	76	2	1.485
0.52	53	3	1.485
0.52	112	4	1.485
0.52	73	5	1.485
0.98	102	1	1.485
0.98	78	2	1.485
0.98	96	3	1.485
0.98	126	4	1.485
0.98	80	5	1.485
0.99	72	1	1.485
0.99	115	2	1.485
0.99	70	3	1.485
0.99	88	4	1.485
0.99	78	5	1.485
1	120	1	1.485
1	93	2	1.485
1	89	3	1.485
1	70	4	1.485
1	91	5	1.485
1.17	97	1	1.485
1.17	62	2	1.485
1.17	49	3	1.485
1.17	94	4	1.485
1.17	113	5	1.485
1.3	59	1	1.485
1.3	42	2	1.485
1.3	71	3	1.485
1.3	62	4	1.485
1.3	42	5	1.485
1.5	31	1	1.485
1.5	65	2	1.485
1.5	32	3	1.485
1.5	64	4	1.485
1.5	51	5	1.485
2	27	1	1.485
2	40	2	1.485
2	41	3	1.485
2	49	4	1.485
2	40	5	1.485
3	35	1	1.485
3	41	2	1.485
3	31	3	1.485
3	43	4	1.485
3	47	5	1.485
4	21	1	1.485
4	36	2	1.485
4	28	3	1.485
4	26	4	1.485
4	30	5	1.485
7	14	1	1.485
7	18	2	1.485
7	0	3	1.485
7	0	4	1.485
7	0	5	1.485
7	27	6	1.485
7	8	7	1.485
7	23	8	1.485
7	22	9	1.485
7	14	10	1.485
